Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
TEMPRASUD,"['TEMPRASUD', 'TEMPRASUD SRL']",2,3,8,['France'],True
TERMOSTAHL,"['TERMOSTAHL', 'TERMOSTAHL SRL']",2,3,8,['Germany'],True
THE NEW IEM,"['THE NEW IEM', 'THE NEW IEM LLC']",2,3,5,['United States Of America'],True
TRANCERIA LIGURE,"['TRANCERIA LIGURE', 'TRANCERIA LIGURE SRL']",2,3,8,['Italy'],True
TRANCERIE EMILIANE,"['TRANCERIE EMILIANE', 'TRANCERIE EMILIANE SPA']",2,3,8,['Italy'],True
TRATTAMENTI TERMICI,"['TRATTAMENTI TERMICI', 'TRATTAMENTI TERMICI SRL']",2,3,8,['Italy'],True
TREVISAN,"['TREVISAN', 'TREVISAN SRL']",2,3,8,['Italy'],True
TURBOTRON,"['Turbotron Inc', 'TURBOTRON']",2,3,4,"['Italy', 'United States Of America']",True
USA HEAT TREATING,"['USA HEAT TREATING', 'USA HEAT TREATING INC']",2,3,5,['United States Of America'],True
VALLEY PLATING,"['VALLEY PLATING', 'VALLEY PLATING INC']",2,3,5,['United States Of America'],True
VALUE TOOL AND ENGINEERING,"['VALUE TOOL AND ENGINEERING', 'VALUE TOOL AND ENGINEERING INC']",2,3,7,['United States Of America'],True
VAREM,"['VAREM', 'VAREM SPA']",2,3,8,['Italy'],True
VECA,"['VECA', 'VECA SPA']",2,3,4,['Italy'],True
VENTURI,"['VENTURI', 'VENTURI GMBH']",2,3,5,"['Argentina', 'Germany']",True
WMH LATSCH,"['WMH LATSCH', 'WMH LATSCH SRL']",2,3,8,['Germany'],True
WORLD RESOURCE SOLUTIONS,"['WORLD RESOURCE SOLUTIONS', 'World Resource Solutions Corp']",2,3,5,['United States Of America'],True
ADVANCED DESIGN CONCEPTS,"['ADVANCED DESIGN CONCEPTS', 'Advanced Design Concepts Inc']",2,2,4,['United States Of America'],True
AE BLAKE SALES,"['AE BLAKE SALES', 'AE BLAKE SALES LTD']",2,2,4,"['Canada', 'United States Of America']",True
AEROTECH ENTERPRISE,"['AEROTECH ENTERPRISE', 'Aerotech Enterprise Inc']",2,2,2,['United States Of America'],True
ALL PRO THREADED PRODUCTS,"['ALL PRO THREADED PRODUCTS', 'All Pro Threaded Products']",2,2,4,['United States Of America'],False
ALLCAMS MACHINE,"['ALLCAMS MACHINE', 'ALLCAMS MACHINE CO']",2,2,4,['United States Of America'],True
ALLIANCE TOOL AND EQUIPMENT,"['ALLIANCE TOOL AND EQUIPMENT', 'Alliance Tool AND Equipment Inc']",2,2,3,['United States Of America'],True
ALPS SOUTH,"['ALPS SOUTH', 'Alps South']",2,2,4,['United States Of America'],False
AM MACHINE,"['AM MACHINE CO INC', 'AM Machine CO']",2,2,2,['United States Of America'],True
AMAC ENTERPRISES,"['AMAC ENTERPRISES', 'Amac Enterprises Inc']",2,2,3,['United States Of America'],True
AMBAC INTERNATIONAL,"['AMBAC INTERNATIONAL CORP', 'Ambac International Corp']",2,2,4,['United States Of America'],True
AMERICAN ULTRA SPECIALTIES,"['AMERICAN ULTRA SPECIALTIES', 'AMERICAN ULTRA SPECIALTIES INC']",2,2,3,['United States Of America'],True
AMO INDUSTRIES,"['AMO INDUSTRIES', 'AMO INDUSTRIES INC']",2,2,2,['United States Of America'],True
AMS BOWFISHING,"['AMS BOWFISHING', 'AMS Bowfishing']",2,2,2,['United States Of America'],False
AMTRAK BEECH GROVE,"['AMTRAK BEECH GROVE', 'Amtrak Beech Grove']",2,2,4,['United States Of America'],False
ANREN PRECISION MACHINING,"['ANREN PRECISION MACHINING', 'Anren Precision Machining']",2,2,3,['China'],False
AQUA CLEAN SYSTEMS,"['AQUA CLEAN SYSTEMS ', 'AQUA CLEAN SYSTEMS PVT LTD']",2,2,5,['India'],True
ARSEMENT MACHINE AND SUPPLY,"['ARSEMENT MACHINE AND SUPPLY', 'Arsement Machine and Supply']",2,2,4,['United States Of America'],False
ASB INDUSTRIES,"['ASB INDUSTRIES', 'ASB Industries Inc']",2,2,4,['United States Of America'],True
ASKO,"['ASKO INC', 'Asko Inc']",2,2,2,['United States Of America'],True
ATC,"['ATC', 'ATC INC']",2,2,4,['United States Of America'],True
AUSTIN PRECISION PRODUCTS,"['AUSTIN PRECISION PRODUCTS', 'Austin Precision Products']",2,2,4,['United States Of America'],False
