Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
BITZER KUEHLMASCHINEN,5,7,Germany,BITZER KUEHLMASCHINEN
BOCCARD,5,8,Poland,BOCCARD
BONDIOLI PAVESI,5,18,Italy,BONDIOLI PAVESI
BORGWARNER,5,8,United States Of America,BORGWARNER
BP,5,9,England,BP
BRAMMER,5,6,England,BRAMMER
BRUCKNER,5,10,Germany,BRUCKNER
BRUSS,5,11,Germany,BRUSS
BUCKEYE FIRE EQUIPMENT,5,10,United States Of America,BUCKEYE FIRE EQUIPMENT
CHARDON METAL PRODUCTS,5,9,United States Of America,CHARDON METAL PRODUCTS
CRH,5,5,Ireland,CRH
CRISTIAN LAY INDUSTRIAL,5,5,Spain,CRISTIAN LAY INDUSTRIAL
DCC ENERGI AS,5,10,Denmark,DCC ENERGI AS
DEAN BALDWIN PAINTING,5,7,United States Of America,DEAN BALDWIN PAINTING
DECO TOOL SUPPLY,5,8,United States Of America,DECO TOOL SUPPLY
DELTA AIR LINES,5,7,United States Of America,DELTA AIR LINES
DIXON VALVE AND COUPLING,5,10,United States Of America,DIXON VALVE AND COUPLING
DNOW,5,12,United States Of America,DNOW
DONCASTERS,5,14,England,DONCASTERS
DORMAKABA,5,8,Switzerland,DORMAKABA
DOVER,5,9,United States Of America,DOVER
DUPONT,5,10,United States Of America,DUPONT
DYNACAST,5,11,United States Of America,DYNACAST
DYNAMICS,5,12,Brazil,DYNAMICS
ECOL,5,10,Italy,ECOL
ELBE,5,7,Germany,ELBE
ENTRUST MANUFACTURING TECHNOLOGIES,5,13,United States Of America,ENTRUST MANUFACTURING TECHNOLOGIES
ERGON,5,9,United States Of America,ERGON
EXELON,5,10,United States Of America,EXELON
EXXON MOBIL,5,9,United States Of America,EXXON MOBIL
FEY,5,13,Brazil,FEY
FLSMIDTH,5,12,Denmark,FLSMIDTH
FOSHAN SUIRONG,5,10,China,FOSHAN SUIRONG
FRANKLIN ELECTRIC,5,8,United States Of America,FRANKLIN ELECTRIC
Gjuteribolaget,5,6,Sweden,GJUTERIBOLAGET
