GP,Candidate,Score,Decision
LEGGERA TECHNOLOGIES,GENERAL TECHNOLOGIES,85.0,
LENNOX MANUFACTURING,CALLEN MANUFACTURING,85.0,
LIANG XIN INDUSTRIAL,YING MING INDUSTRIAL,85.0,
LIANG XIN INDUSTRIAL,WING YING INDUSTRIAL,85.0,
LIBURDI ENGINEERING,LISNABRIN ENGINEERING,85.0,
LIST INDUSTRIES INC,WRIGHT INDUSTRIES INC,85.0,
LOUDON INDUSTRIES INC,ZION INDUSTRIES INC,85.0,
MACRO INDUSTRIES INC,WEBCO INDUSTRIES INC,85.0,
MANUFACTURING SYSTEMS,TESKE MANUFACTURING,85.0,
MANUFACTURING SYSTEMS,MANUFACTURING SALES,85.0,
MARION MANUFACTURING,METRIC MANUFACTURING,85.0,
MARION MANUFACTURING,MCLANE MANUFACTURING,85.0,
MARKALOY MANUFACTURING,MARS MANUFACTURING,85.0,
MARKALOY MANUFACTURING,TROY MANUFACTURING,85.0,
MARKALOY MANUFACTURING,PARK MANUFACTURING,85.0,
MCGILL MANUFACTURING,MCLANE MANUFACTURING,85.0,
MERGON INTERNATIONAL,KYMERA INTERNATIONAL,85.0,
METALEX MANUFACTURING,MANUFACTURING SALES,85.0,
MILBANKS MANUFACTURING,MARS MANUFACTURING,85.0,
MILTON MANUFACTURING,MCLANE MANUFACTURING,85.0,
MILTON MANUFACTURING,MCGILL MANUFACTURING,85.0,
MODINE MANUFACTURING,MILTON MANUFACTURING,85.0,
MODINE MANUFACTURING,MCLANE MANUFACTURING,85.0,
MODINE MANUFACTURING,MARION MANUFACTURING,85.0,
NEW ENGLAND PRECISION,NANDE PRECISION ENG,85.0,
OCIDE CONSTRUCCION,CONSTRUCCIONES ECHAIDE,85.0,
ONVLEE ENGINEERING PTY,NJ ENGINEERING PTY,85.0,
PARAMOUNT MANUFACTURING,RAO MANUFACTURING,85.0,
PETERSON MANUFACTURING,ZERO MANUFACTURING,85.0,
PETERSON MANUFACTURING,TROY MANUFACTURING,85.0,
PETERSON MANUFACTURING,SOHN MANUFACTURING,85.0,
PRECISION TOOL AND DIE,PRIOR TOOL AND DIE,85.0,
RICHARDS MANUFACTURING,RIMA MANUFACTURING,85.0,
RICHARDS MANUFACTURING,MARS MANUFACTURING,85.0,
ROACH MANUFACTURING,TRANSCO MANUFACTURING,85.0,
RW MACHINE AND TOOL,TENK MACHINE AND TOOL,85.0,
SARGENT MANUFACTURING,MANUFACTURING SALES,85.0,
SARNS INDUSTRIES INC,MACRO INDUSTRIES INC,85.0,
SENSOR MANUFACTURING,PRENCO MANUFACTURING,85.0,
SETINA MANUFACTURING,VERNAY MANUFACTURING,85.0,
SETINA MANUFACTURING,SENSOR MANUFACTURING,85.0,
SETINA MANUFACTURING,METRIC MANUFACTURING,85.0,
SHILDON MANUFACTURING,STONY MANUFACTURING,85.0,
SHILOH INDRUSTRIES INC,LOC INDUSTRIES INC,85.0,
SNYDER MANUFACTURING,SENSOR MANUFACTURING,85.0,
SOLDY MANUFACTURING,SHILDON MANUFACTURING,85.0,
SOLDY MANUFACTURING,TOWNLEY MANUFACTURING,85.0,
SOUTHCO MANUFACTURING,STONY MANUFACTURING,85.0,
SP MANUFACTURING PTE,STATES MANUFACTURING,85.0,
STAR POWDER COATING,SKAGIT POWDER COATING,85.0,
STATES MANUFACTURING,SENSOR MANUFACTURING,85.0,
STATES MANUFACTURING,SETINA MANUFACTURING,85.0,
SUPERIOR MANUFACTURING,ZERO MANUFACTURING,85.0,
TECSAW INTERNATIONAL,SOTECO INTERNATIONAL,85.0,
TENDON MANUFACTURING,PRENCO MANUFACTURING,85.0,
TENDON MANUFACTURING,MILTON MANUFACTURING,85.0,
TENDON MANUFACTURING,SENSOR MANUFACTURING,85.0,
THURSTON MANUFACTURING,TROY MANUFACTURING,85.0,
THURSTON MANUFACTURING,SOHN MANUFACTURING,85.0,
TONNARD MANUFACTURING,STONY MANUFACTURING,85.0,
TRANSCO MANUFACTURING,NEWCO MANUFACTURING,85.0,
TRIANGLE MANUFACTURING,RIMA MANUFACTURING,85.0,
TRIPLAN INTERNATIONAL,IPSEN INTERNATIONAL,85.0,
ULTRA METAL FINISHING,ROY METAL FINISHING,85.0,
UNIVERSAL HEAT TREATING,USA HEAT TREATING,85.0,
UNLMACH MANUFACTURING,ROACH MANUFACTURING,85.0,
US BOLT MANUFACTURING,BOYET MANUFACTURING,85.0,
VALCO MANUFACTURING,TRANSCO MANUFACTURING,85.0,
VERNAY MANUFACTURING,NATAYO MANUFACTURING,85.0,
VERTEX MANUFACTURING,VERNAY MANUFACTURING,85.0,
VIELER INTERNATIONAL,NESPER INTERNATIONAL,85.0,
WARREN MANUFACTURING,PRENCO MANUFACTURING,85.0,
WARREN MANUFACTURING,MARION MANUFACTURING,85.0,
WAYNE MANUFACTURING,TOWNLEY MANUFACTURING,85.0,
WEBCO INDUSTRIES INC,WIESE INDUSTRIES INC,85.0,
WESCO INTERNATIONAL,MESHTEC INTERNATIONAL,85.0,
