Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E008125,ELGIN FASTENERS,Elgin Fasteners,United States Of America,1,E008126,ELGIN FASTENERS BEREA TFI,Elgin Fasteners Berea TFI,United States Of America,1,Medium,40,75.0,100.0,75.0,100.0,2
E008425,FOCKE AND,FOCKE AND CO,Germany,1,E009518,HH FOCKE AND KG,HH FOCKE GMBH AND CO KG,Germany,1,Medium,24,75.0,100.0,75.0,100.0,2
E008898,GLOBAL,GLOBAL,Italy,1,E009884,IAT GLOBAL,IAT GLOBAL,United States Of America,1,Medium,16,75.0,100.0,75.0,100.0,2
E011605,LUOYANG XINQIANGLIAN,LUOYANG XINQIANGLIAN,China,1,E017956,XINQIANGLIAN,Xinqianglian,,1,Medium,32,75.0,100.0,75.0,100.0,2
E013831,PLANET LIGHTING,PLANET LIGHTING,Australia,1,E013832,PLANET LIGHTING BELLINGEN,PLANET LIGHTING BELLINGEN,,1,Medium,40,75.0,100.0,75.0,100.0,2
E014266,PWR POWER PERFORMANCE PRODUCTS,PWR POWER PERFORMANCE PRODUCTS,Australia,1,E014267,PWR POWER PRODUCTS,PWR POWER PRODUCTS,,1,Medium,48,75.0,78.8,75.0,100.0,2
E014379,QUALITY TOOL,QUALITY TOOL,United States Of America,1,E014380,QUALITY TOOL AND DIE,QUALITY TOOL AND DIE,United States Of America,1,Medium,32,75.0,100.0,75.0,100.0,2
E014839,RONSON GEARS,RONSON GEARS,Australia,1,E014840,RONSON GEARS HIGHETT,RONSON GEARS HIGHETT,,1,Medium,32,75.0,100.0,75.0,100.0,2
E012405,MILLSON GRAPHITE,MILLSON GRAPHITE,China,1,E012406,MILLSON GRAPHITE INDUSTRIES,MILLSON GRAPHITE INDUSTRIES,China,1,Medium,43,74.4,100.0,74.4,100.0,2
E004292,ADVANCED CAST PRODUCTS,ADVANCED CAST PRODUCTS,United States Of America,1,E006103,CAST PRODUCTS,CAST PRODUCTS,United States Of America,1,Medium,35,74.3,100.0,74.3,100.0,2
E012360,MIDWEST METAL,MIDWEST METAL,United States Of America,1,E012361,MIDWEST METAL COATINGS,MIDWEST METAL COATINGS,United States Of America,1,Medium,35,74.3,100.0,74.3,100.0,2
E014060,PRESSURE CAST PRODUCTS,PRESSURE CAST PRODUCTS,United States Of America,1,E006103,CAST PRODUCTS,CAST PRODUCTS,United States Of America,1,Medium,35,74.3,100.0,74.3,100.0,2
