Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP,Normalization_Changed
DOW CHEMICAL,4,8,United States Of America,DOW CHEMICAL,False
DRAVA,4,6,Brazil,DRAVA,False
Dependable Stamping Company,4,6,United States Of America,DEPENDABLE STAMPING,True
EAGLE MANUFACTURING COMPANY,4,6,United States Of America,EAGLE MANUFACTURING,True
ECHO TRAILERS,4,10,United States Of America,ECHO TRAILERS,False
EFD INDUCTION INC,4,8,United States Of America,EFD INDUCTION,True
EICKHOFF,4,7,Germany,EICKHOFF,False
EINES CANELA,4,4,Spain,EINES CANELA,False
ELBA BRUNITURA,4,13,Italy,ELBA BRUNITURA,False
ELECTROMET,4,5,United States Of America,ELECTROMET,False
ENVIREM,4,11,Italy,ENVIREM,False
ETERNIT,4,8,Brazil,ETERNIT,False
ETG IRELAND,4,11,Ireland,ETG IRELAND,False
ETS OPINEL JOSEPH ET CIE,4,6,France,ETS OPINEL JOSEPH ET CIE,False
FAMAR,4,9,Italy,FAMAR,False
FCF,4,8,Brazil,FCF,False
FEINTOOL CINCINNATI,4,8,United States Of America,FEINTOOL CINCINNATI,False
FOCAL POINT,4,8,United States Of America,FOCAL POINT,False
FOPPAVIE,4,9,Italy,FOPPAVIE,False
FORGEX,4,5,Canada,FORGEX,False
Fenner,4,7,United States Of America,FENNER,False
GAVIOTA SIMBAC MIDDLE EAST,4,8,Lebanon,GAVIOTA SIMBAC MIDDLE EAST,False
GH GROUP,4,6,Spain,GH GROUP,False
GIACOMINI SPA,4,10,Italy,GIACOMINI,True
GLIDEROL GARAGE DOORS,4,4,Australia,GLIDEROL GARAGE DOORS,False
GNOSJÖ AUTOMATSVARVNING,4,8,Sweden,GNOSJO AUTOMATSVARVNING,True
GOIZPER,4,4,Spain,GOIZPER,False
